Year,OverallPick,Name,age,height,pos,COLLEGE,SEASON,ncaaG,ncaaMP,ncaaFGM,ncaaFGA,ncaaFGPER,ncaaM2PM,ncaa2PA,ncaa2PER,ncaa3PM,ncaa3PA,ncaa3PER,ncaaFTM,ncaaFTA,ncaaFTPER,ncaaTRB,ncaaAST,ncaaSTL,ncaaBLK,ncaaTOV,ncaaPF,ncaaPTS,nbaG,nbaMP,nbaPTS,nbaTRB,nbaAST,nbaFGPER,nba3PER,nbaFTPER,nbaMP_G,nbaPTS_G,nbaTRB_G,nbaAST_G,nbaWS,nbaWS_48,nbaBPM,nbaVORP
2006,33,Solomon Jones,21.352,82,Big,University of South Florida,2005-06,29,1056,5.3,10.9,0.484,5.3,10.8,0.488,0,0.1,,4,5.1,0.778,10.8,1.5,0.9,3.4,,,14.5,281,3092,839,654,99,0.467,0.111,0.717,11,3,2.3,0.4,5,0.078,-2.9,-0.7
2006,39,David Noel,22.127,78,Guard,University of North Carolina,2005-06,31,1045,6,11.4,0.532,4.6,7.8,0.58,1.5,3.5,0.424,1.7,2.8,0.625,8.1,4.1,1.3,0.9,,,15.3,68,792,184,123,65,0.367,0.321,0.86,11.6,2.7,1.8,1,0.4,0.024,-3.4,-0.3
2006,31,James White,23.256,79,Big,University of Cincinnati,2005-06,33,1104,6.4,13.2,0.488,4.6,8.4,0.552,1.8,4.7,0.374,4.9,5.8,0.838,6.1,2.4,1.3,1,,,19.5,67,583,182,68,35,0.438,0.34,0.676,8.7,2.7,1,0.5,0.8,0.062,-3.4,-0.2
2006,32,Steve Novak,23.021,82,Big,Marquette University,2005-06,31,1047,6.6,13.9,0.477,2,4,0.5,4.6,9.9,0.467,2.8,2.9,0.974,7,1.5,0.7,0.2,,,20.7,467,5657,2177,591,132,0.437,0.43,0.877,12.1,4.7,1.3,0.3,14.5,0.123,-0.9,1.6
2006,1,Andrea Bargnani,20.25,13,,,,,,,,,,,,,,,,,,,,,,,,,15806,7873,2541,653,0.439,0.354,0.824,28.7,14.3,4.6,1.2,18.9,0.057,-2.2,-0.9,
2006,28,Maurice Ager,22.145,77,Guard,Michigan State University,2005-06,34,1170,7.7,16.9,0.457,4.9,9.4,0.522,2.8,7.6,0.376,4.1,5.4,0.761,4.8,2.9,0.8,0.4,,,22.4,82,505,169,46,19,0.339,0.25,0.566,6.2,2.1,0.6,0.2,-0.9,-0.089,-10.4,-1.1
2006,51,Cheikh Samb,21.254,13,,,,,,,,,,,,,,,,,,,,,,,,,114,22,31,1,0.25,0,0.444,5.2,1,1.4,0,-0.1,-0.056,-9.2,-0.2,
2006,30,Joel Freeland,19.146,13,,,,,,,,,,,,,,,,,,,,,,,,,1821,477,518,65,0.459,0,0.728,12.1,3.2,3.4,0.4,3.2,0.084,-2.5,-0.2,
2006,49,Leon Powe,22.163,80,Big,University of California,2005-06,27,953,7.5,15.1,0.496,7.3,14.7,0.5,0.1,0.4,0.333,8.1,11.3,0.719,11.5,1.6,1,0.6,,,23.2,239,3320,1484,911,78,0.515,0,0.682,13.9,6.2,3.8,0.3,12,0.174,-2.3,-0.2
2006,7,Randy Foye,22.283,76,Guard,Villanova University,2005-06,33,1145,7.9,19.2,0.411,4.8,10.3,0.463,3.1,8.9,0.35,4.8,6,0.791,6.6,3.5,1.6,0.7,,,23.7,752,19279,7729,1686,2112,0.401,0.366,0.852,25.6,10.3,2.2,2.8,23.5,0.058,-1.3,3.4
2006,16,Rodney Carney,22.079,79,Big,University of Memphis,2005-06,37,1027,8.6,19.7,0.436,4.6,9.5,0.484,4,10.2,0.391,3.7,5.1,0.712,6.2,1.8,1.9,1,,,24.8,299,4600,1778,588,132,0.422,0.338,0.704,15.4,5.9,2,0.4,6.2,0.064,-2.7,-0.8
