name,2015xrapm,2015oxrapm,2015dxrapm,2014xrapm,2014oxrapm,2014dxrapm,2013xrapm,2013oxrapm,2013dxrapm,2012xrapm,2012oxrapm,2012dxrapm,2011xrapm,2011oxrapm,2011dxrapm,2010xrapm,2010oxrapm,2010dxrapm,2009xrapm,2009oxrapm,2009dxrapm,2008xrapm,2008oxrapm,2008dxrapm,2007xrapm,2007oxrapm,2007dxrapm,2006xrapm,2006oxrapm,2006dxrapm,2005xrapm,2005oxrapm,2005dxrapm,
Tyler Hansbrough,1.99,1.46,0.53,-0.96,-1.12,0.16,-1.81,-1.99,0.18,-1.41,-0.71,-0.7,-1.87,-1.39,-0.48,-0.65,-0.8,0.15,,,,,,,,,,,,,,,,
Mardy Collins,,,,,,,,,,,,,,,,-1.35,-1.14,-0.21,0.6,-0.18,0.78,-2.73,-2.05,-0.68,-1.6,-1.51,-0.09,,,,,,,
Aron Baynes,1.06,-0.37,1.43,0.52,0.32,0.2,0.06,-0.51,0.57,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.11,-0.73,-0.38,-0.8,-0.93,0.13,
Calvin Booth,,,,,,,,,,,,,,,,,,,-0.98,-0.41,-0.57,-0.69,-1.12,0.43,0.76,-0.51,1.27,-1.19,-0.35,-0.84,-1.78,-1.93,0.15,
Luke Babbitt,-2.99,-1.66,-1.32,1.49,2.33,-0.84,-0.91,-0.4,-0.52,-3.03,-1.0,-2.03,-1.24,-1.14,-0.1,,,,,,,,,,,,,,,,,,,
Mike Dunleavy,3.29,1.17,2.12,1.64,-0.25,1.89,1.24,0.98,0.26,1.08,0.37,0.72,2.44,1.09,1.34,-0.08,0.23,-0.31,-1.24,-0.66,-0.58,2.06,0.94,1.12,-0.91,-0.63,-0.28,-0.42,-0.05,-0.36,1.46,-0.13,1.59,
Justin Hamilton,-2.8,-1.79,-1.01,-1.16,-0.47,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.J. Redick,2.96,1.28,1.68,2.24,2.82,-0.58,-0.28,1.69,-1.96,-0.76,0.47,-1.23,-0.71,-0.11,-0.6,-0.14,0.16,-0.3,0.22,-0.12,0.34,-0.99,0.41,-1.4,-0.99,-0.27,-0.72,,,,,,,
Jake Tsakalidis,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,-0.97,0.73,1.65,1.79,-0.14,-0.29,-0.71,0.42,
Dewayne Dedmon,0.21,-1.48,1.69,-1.42,-0.95,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langston Galloway,-1.52,-1.19,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Bozeman,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,-0.67,0.2,,,,,,,
Lorenzo Brown,-0.9,0.6,-1.49,-0.0,-0.71,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Smith,-0.96,-2.17,1.21,-0.86,-0.18,-0.68,0.13,1.24,-1.12,-0.69,-0.7,0.01,,,,,,,,,,,,,,,,,,,,,,
Rodrigue Beaubois,,,,,,,-0.45,-0.82,0.37,0.38,0.56,-0.17,-2.12,-2.55,0.43,0.34,1.06,-0.72,,,,,,,,,,,,,,,,
Greg Oden,,,,-2.09,-1.12,-0.97,,,,,,,,,,1.09,0.55,0.54,1.13,1.09,0.04,,,,,,,,,,,,,
Jamison Brewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.07,-1.06,-1.01,
Otto Porter,1.28,1.76,-0.48,-1.06,-1.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Thomas,,,,,,,,,,,,,,,,,,,,,,-0.79,-0.27,-0.52,,,,-0.06,-0.21,0.15,-0.47,0.46,-0.93,
Jared Dudley,1.73,-0.49,2.22,-0.15,-0.02,-0.14,0.71,-0.61,1.32,0.13,0.3,-0.17,-0.82,-0.01,-0.81,2.72,2.44,0.27,-0.41,0.54,-0.95,0.19,0.49,-0.3,,,,,,,,,,
Jerrelle Benimon,-0.36,-0.24,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Plumlee,-1.1,-0.18,-0.92,-1.45,-2.01,0.56,-0.76,-0.57,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Padgett,,,,,,,,,,,,,,,,,,,,,,,,,-0.31,-0.32,0.0,-2.42,-2.01,-0.41,2.24,0.8,1.43,
Mickael Pietrus,,,,,,,-0.81,-0.35,-0.47,-0.24,-0.73,0.49,-0.57,-2.27,1.71,-0.47,-1.21,0.74,0.91,0.08,0.82,-0.35,0.17,-0.51,-3.72,-1.72,-2.0,-2.53,-2.42,-0.11,-0.21,0.44,-0.64,
Jarvis Varnado,,,,-1.11,-0.65,-0.46,-0.81,-0.72,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Hummel,-2.69,-0.41,-2.29,1.32,0.59,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martynas Andriuskevicius,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,-0.28,-0.16,,,,
Darius Morris,-2.97,-2.16,-0.8,-1.86,-1.85,-0.01,-1.93,-1.72,-0.2,-1.69,-0.96,-0.73,,,,,,,,,,,,,,,,,,,,,,
Bracey Wright,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.48,0.51,-0.42,-0.65,0.23,,,,
Tamar Slay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.74,-0.4,-0.34,
