name,2015xrapm,2015oxrapm,2015dxrapm,2014xrapm,2014oxrapm,2014dxrapm,2013xrapm,2013oxrapm,2013dxrapm,2012xrapm,2012oxrapm,2012dxrapm,2011xrapm,2011oxrapm,2011dxrapm,2010xrapm,2010oxrapm,2010dxrapm,2009xrapm,2009oxrapm,2009dxrapm,2008xrapm,2008oxrapm,2008dxrapm,2007xrapm,2007oxrapm,2007dxrapm,2006xrapm,2006oxrapm,2006dxrapm,2005xrapm,2005oxrapm,2005dxrapm,
Brandon Roy,,,,,,,-0.37,-0.15,-0.22,,,,0.42,0.72,-0.3,1.52,2.15,-0.63,3.03,2.44,0.59,0.63,1.0,-0.37,-1.76,0.04,-1.8,,,,,,,
Paul Shirley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.24,-0.35,-0.89,
Xavier Henry,-0.29,0.22,-0.51,0.45,-0.38,0.83,-3.28,-2.29,-0.98,-1.0,-0.74,-0.26,-2.15,-1.7,-0.45,,,,,,,,,,,,,,,,,,,
Mike Harris,,,,0.25,-0.34,0.59,,,,,,,0.13,0.06,0.07,-1.47,-1.06,-0.42,,,,-0.62,-0.22,-0.4,,,,,,,,,,
Ben Uzoh,,,,,,,,,,0.57,-0.9,1.48,-2.2,-1.36,-0.84,,,,,,,,,,,,,,,,,,,
Willie Warren,,,,,,,,,,,,,0.34,0.03,0.31,,,,,,,,,,,,,,,,,,,
Sebastian Telfair,-2.23,-2.11,-0.12,,,,0.28,-1.27,1.55,-2.21,-1.06,-1.15,-0.97,-0.53,-0.44,-2.02,-1.28,-0.74,1.53,1.85,-0.32,-3.24,-2.55,-0.68,-0.49,-0.57,0.08,-3.42,-2.02,-1.4,-3.06,-1.55,-1.51,
Marcus Landry,,,,,,,,,,,,,,,,-0.38,0.06,-0.44,,,,,,,,,,,,,,,,
Michael Olowokandi,,,,,,,,,,,,,,,,,,,,,,,,,-0.52,-1.71,1.2,-2.24,-3.22,0.98,-0.71,-1.77,1.06,
Julius Randle,-0.86,-0.46,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acie Law,,,,,,,,,,,,,-3.61,-1.87,-1.74,0.72,1.32,-0.6,-1.42,-1.81,0.39,-2.51,-1.85,-0.66,,,,,,,,,,
Russ Smith,-0.03,-0.54,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Douglas-Roberts,-1.3,-0.42,-0.88,-0.5,-0.44,-0.06,-0.88,-0.36,-0.52,,,,-0.54,-0.63,0.09,-3.62,-3.3,-0.32,0.17,0.04,0.13,,,,,,,,,,,,,
Yaroslav Korolev,,,,,,,,,,,,,,,,,,,,,,,,,-1.19,-0.59,-0.59,-1.3,-1.47,0.17,,,,
Aaron Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.66,-0.69,0.03,,,,
Rafer Alston,,,,,,,,,,,,,,,,-0.88,-1.89,1.01,-0.96,-0.98,0.02,2.73,0.51,2.21,3.96,1.32,2.64,-0.42,-0.46,0.04,-0.07,-0.06,-0.01,
D.J. Strawberry,,,,,,,,,,,,,,,,,,,,,,-1.34,-0.93,-0.41,,,,,,,,,,
Eddie Gill,,,,,,,,,,,,,,,,,,,-0.98,-0.51,-0.47,-0.94,-1.59,0.65,,,,-0.28,-0.24,-0.04,-2.1,-1.61,-0.49,
Adonal Foyle,,,,,,,,,,,,,,,,,,,-0.84,-0.7,-0.14,-1.43,-2.16,0.73,-0.97,0.33,-1.3,-0.18,-2.77,2.59,-0.33,-1.36,1.03,
Ndudi Ebi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.09,0.04,
DeMarre Carroll,0.57,0.68,-0.11,1.7,0.53,1.17,2.42,0.94,1.48,-0.21,0.32,-0.53,-0.24,-0.12,-0.12,-0.48,-0.29,-0.19,,,,,,,,,,,,,,,,
Ronny Turiaf,-0.77,-0.41,-0.36,-0.64,-0.87,0.23,-0.58,-1.82,1.25,-0.51,-1.33,0.82,-0.35,-1.66,1.31,0.34,-0.62,0.96,0.79,1.64,-0.86,-0.49,-0.64,0.15,0.08,0.85,-0.77,-1.46,-0.38,-1.08,,,,
Sherron Collins,,,,,,,,,,,,,-0.91,-0.33,-0.58,,,,,,,,,,,,,,,,,,,
Kurt Thomas,,,,,,,-1.47,-1.13,-0.34,0.1,-1.6,1.7,-1.0,-1.35,0.35,-1.64,-0.78,-0.87,0.45,-1.21,1.66,0.11,-2.24,2.35,2.73,0.99,1.74,1.18,-1.11,2.29,-0.74,0.23,-0.97,
Michael Doleac,,,,,,,,,,,,,,,,,,,,,,-1.15,-1.05,-0.1,-1.92,-1.23,-0.69,-2.94,-2.55,-0.39,-1.37,-1.42,0.04,
Reece Gaines,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.17,-0.3,-0.87,-2.75,-2.43,-0.32,
Marcus Fizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.03,-0.51,-0.53,-2.99,-1.54,-1.45,
Jae Crowder,0.94,1.48,-0.54,3.7,1.27,2.43,-0.76,-0.72,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Zeller,,,,,,,-1.81,-1.17,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,
JaJuan Johnson,,,,,,,,,,-1.44,-1.52,0.08,,,,,,,,,,,,,,,,,,,,,,
Brian Roberts,-1.54,-1.08,-0.47,-1.41,-0.97,-0.45,-2.55,-1.03,-1.53,,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine Taylor,,,,,,,,,,,,,-2.09,-0.31,-1.78,-3.54,-2.14,-1.4,,,,,,,,,,,,,,,,
Jarvis Hayes,,,,,,,,,,,,,,,,-1.59,-0.62,-0.97,0.7,-0.47,1.17,-0.08,-0.34,0.26,-3.48,-0.64,-2.84,-0.81,-0.88,0.07,-1.5,-0.04,-1.46,
Gordon Hayward,2.14,1.65,0.49,-1.44,-0.63,-0.81,2.26,1.93,0.33,-1.57,0.03,-1.6,-3.91,-1.11,-2.8,,,,,,,,,,,,,,,,,,,
Jeff Adrien,-0.34,-0.37,0.02,-0.89,0.27,-1.16,-0.57,-0.39,-0.17,-0.77,-1.0,0.23,-0.48,0.12,-0.6,,,,,,,,,,,,,,,,,,,
Brandon Davies,-3.34,-0.95,-2.4,0.34,-0.11,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Madsen,,,,,,,,,,,,,,,,,,,-0.55,-0.76,0.21,0.04,-1.44,1.48,0.19,-0.16,0.35,-0.92,-1.74,0.83,1.81,0.56,1.25,
Jermareo Davidson,,,,,,,,,,,,,,,,,,,-0.75,-1.17,0.42,-2.13,-1.5,-0.63,,,,,,,,,,
Jeff Pendergraph,-2.12,-0.63,-1.49,0.23,0.21,0.01,1.04,0.8,0.25,-0.44,0.11,-0.55,,,,-2.27,-0.13,-2.14,,,,,,,,,,,,,,,,
Ryan Gomes,,,,-0.02,-0.51,0.49,,,,-1.72,-1.21,-0.51,-0.63,0.07,-0.7,-0.88,-1.05,0.16,-3.12,-1.85,-1.27,0.72,1.01,-0.3,-5.1,-1.76,-3.35,0.14,0.17,-0.02,,,,
C.J. Wilcox,-0.7,-0.73,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter-Williams,-1.79,-3.17,1.37,-1.17,-0.15,-1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Diener,,,,,,,,,,,,,,,,-1.74,-0.85,-0.89,-0.24,0.51,-0.75,-1.53,0.02,-1.55,-0.45,-0.08,-0.36,-2.36,-0.95,-1.4,,,,
Shandon Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.14,0.36,1.56,0.78,0.77,
Vladimir Radmanovic,,,,,,,-1.76,-1.3,-0.47,0.44,-0.49,0.93,0.85,0.95,-0.1,-1.33,-1.46,0.13,-1.05,-0.21,-0.84,3.73,3.54,0.19,-2.24,-1.76,-0.48,-0.57,0.61,-1.18,3.9,4.08,-0.17,
Kevin Murphy,,,,,,,-1.98,-0.84,-1.14,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Livingston,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,-0.76,-0.95,-0.22,-0.27,0.05,-1.41,-0.3,-1.12,
Brandin Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.43,-0.15,-0.28,
Drew Gordon,-1.56,-0.79,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Smith,,,,-0.42,-0.15,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Freije,,,,,,,,,,,,,,,,,,,,,,,,,0.08,-0.63,0.71,,,,-1.4,-1.76,0.37,
Bruno Caboclo,-1.25,-0.66,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goran Dragic,-0.13,0.83,-0.96,3.07,2.75,0.33,-0.19,0.88,-1.07,0.85,1.54,-0.69,-3.84,-2.73,-1.12,0.31,0.88,-0.57,-0.57,0.28,-0.85,,,,,,,,,,,,,
Luke Harangody,,,,,,,,,,-1.57,-0.25,-1.31,-1.72,-1.14,-0.59,,,,,,,,,,,,,,,,,,,
John Henson,-2.95,-3.01,0.06,-4.94,-2.07,-2.87,-0.72,-0.63,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Henderson,0.84,-0.78,1.62,-2.25,-1.86,-0.38,-2.04,-0.8,-1.25,-2.53,-1.75,-0.78,0.22,-0.33,0.56,-0.78,-1.45,0.66,,,,,,,,,,,,,,,,
Vitor Faverani,,,,-2.29,-2.43,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Jenkins,-1.35,-1.6,0.25,-0.48,-0.41,-0.07,-3.41,-1.52,-1.89,,,,,,,,,,,,,,,,,,,,,,,,,
Stromile Swift,,,,,,,,,,,,,,,,,,,-0.47,-0.88,0.4,-1.31,-1.42,0.11,-2.74,-2.15,-0.59,-2.2,-2.24,0.04,-0.99,-0.23,-0.77,
Darvin Ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.94,-1.39,-1.56,
Mike Taylor,,,,,,,,,,,,,,,,,,,-1.73,-0.84,-0.89,,,,,,,,,,,,,
Isaiah Thomas,1.65,2.85,-1.2,2.27,1.72,0.55,-0.54,-0.02,-0.52,-0.09,1.59,-1.68,,,,,,,,,,,,,,,,,,,,,,
Darryl Watkins,,,,,,,,,,-1.12,-0.64,-0.48,,,,,,,,,,-0.88,-0.62,-0.26,,,,,,,,,,
Malcolm Thomas,-3.41,-1.91,-1.5,-0.42,-0.03,-0.4,0.38,0.26,0.11,-0.57,-0.26,-0.31,,,,,,,,,,,,,,,,,,,,,,
Deng Gai,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.58,-0.25,-0.33,,,,
Ivan Johnson,,,,,,,-0.26,-1.69,1.43,-0.57,-0.89,0.32,,,,,,,,,,,,,,,,,,,,,,
Nolan Smith,,,,,,,-0.71,-1.59,0.88,-3.5,-1.45,-2.05,,,,,,,,,,,,,,,,,,,,,,
Corey Maggette,,,,,,,-0.5,-0.69,0.19,-2.97,-1.55,-1.42,-2.33,-1.33,-1.0,-2.22,0.03,-2.25,-1.71,-0.54,-1.17,0.35,-0.22,0.57,1.08,0.65,0.43,3.04,1.96,1.08,-0.76,0.2,-0.96,
Paul Pierce,0.01,-0.43,0.44,0.28,-1.42,1.7,2.46,1.15,1.31,0.06,-0.84,0.9,4.27,1.91,2.36,1.18,0.39,0.79,1.69,0.27,1.42,4.88,2.74,2.15,2.26,2.34,-0.08,-0.52,1.51,-2.03,3.04,2.53,0.52,
Stanislav Medvedenko,,,,,,,,,,,,,,,,,,,,,,,,,-0.82,-0.39,-0.43,-0.18,-0.13,-0.04,-1.17,-0.13,-1.05,
Omer Asik,-1.13,-2.1,0.97,0.39,-0.3,0.69,4.47,1.41,3.06,0.39,-1.56,1.95,3.06,0.06,3.0,,,,,,,,,,,,,,,,,,,
Jordan Williams,,,,,,,,,,0.52,1.21,-0.69,,,,,,,,,,,,,,,,,,,,,,
Kerry Kittles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.66,-0.08,-0.58,
Pero Antic,1.73,0.39,1.34,2.04,0.74,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Sims,-3.64,-3.46,-0.18,-1.05,-1.07,0.02,-0.32,-0.16,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Cooley,-0.75,-0.66,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Foote,,,,,,,,,,-0.14,-0.12,-0.02,,,,,,,,,,,,,,,,,,,,,,
David Andersen,,,,,,,,,,,,,0.65,0.92,-0.27,0.77,-0.28,1.05,,,,,,,,,,,,,,,,
Brian Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.67,-0.67,-1.0,-1.54,-1.11,-0.43,
Darrick Martin,,,,,,,,,,,,,,,,,,,,,,0.75,0.16,0.59,-0.99,-0.53,-0.45,0.96,1.0,-0.04,0.19,-0.14,0.33,
Anthony Parker,,,,,,,,,,-1.74,-0.93,-0.81,0.15,-0.73,0.88,1.87,0.67,1.2,1.01,0.0,1.01,-0.39,0.55,-0.93,3.74,2.2,1.54,,,,,,,
Kendall Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31,-0.23,-0.08,
Moochie Norris,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.11,-1.34,-0.77,-1.51,-2.01,0.51,
Rudy Gobert,-0.56,-2.07,1.51,-0.82,-1.63,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Anderson,,,,,,,,,,,,,,,,-0.59,-0.39,-0.2,,,,,,,,,,,,,,,,
Kris Joseph,,,,,,,-0.46,-0.15,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,
Al Thornton,,,,,,,,,,,,,0.09,-0.43,0.52,-2.77,-1.8,-0.97,-4.5,-1.1,-3.4,-4.32,-2.04,-2.28,,,,,,,,,,
Lance Thomas,-3.21,-2.07,-1.15,-0.37,-0.35,-0.02,-0.59,-0.73,0.13,-2.04,-1.43,-0.61,,,,,,,,,,,,,,,,,,,,,,
Jonny Flynn,,,,,,,,,,-3.09,-0.15,-2.93,-2.06,-0.85,-1.21,-4.99,-2.15,-2.84,,,,,,,,,,,,,,,,
Demetris Nichols,,,,,,,,,,,,,,,,,,,-0.22,-0.29,0.07,-1.2,-0.74,-0.46,,,,,,,,,,
Keith Langford,,,,,,,,,,,,,,,,,,,,,,-0.26,-0.25,-0.01,,,,,,,,,,
Jason Richardson,-1.12,-1.04,-0.08,,,,-0.8,0.08,-0.88,0.4,0.21,0.19,0.66,1.5,-0.84,2.13,2.5,-0.37,-2.04,0.4,-2.44,-0.12,0.51,-0.64,2.44,1.64,0.8,1.94,2.23,-0.29,-0.57,0.86,-1.44,
Jordan Hill,-3.39,-2.27,-1.13,-3.2,-2.24,-0.96,-1.37,-0.4,-0.97,-1.06,-0.33,-0.73,-3.34,-1.48,-1.85,-1.17,-0.31,-0.86,,,,,,,,,,,,,,,,
Kevin Seraphin,-2.09,-1.56,-0.54,-1.12,-1.69,0.57,-3.47,-3.15,-0.32,0.26,-0.97,1.23,-3.84,-2.09,-1.75,,,,,,,,,,,,,,,,,,,
Rod Strickland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,-0.33,0.31,
Jeff Teague,1.48,0.05,1.42,-0.35,-1.2,0.85,-0.57,-0.8,0.23,1.65,1.71,-0.05,-1.37,-1.01,-0.37,-1.23,-1.05,-0.18,,,,,,,,,,,,,,,,
Omar Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.14,0.14,
Kendall Marshall,1.0,1.01,-0.02,-0.28,0.24,-0.52,-2.86,-1.36,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon Martin,-0.4,-0.26,-0.14,1.84,0.19,1.65,0.13,-0.61,0.75,-0.13,-1.27,1.14,1.68,0.48,1.2,-0.66,-0.76,0.1,1.46,-0.25,1.71,0.2,-0.75,0.95,-0.5,-0.59,0.1,1.26,0.32,0.94,-0.79,-0.91,0.12,
Rudy Fernandez,,,,,,,,,,-0.21,-0.42,0.2,0.81,0.29,0.52,-0.87,-0.64,-0.23,1.95,1.1,0.85,,,,,,,,,,,,,
Quinton Ross,,,,,,,,,,,,,1.11,-0.73,1.84,-1.36,-1.9,0.54,-0.66,-1.71,1.04,-2.65,-2.5,-0.15,-0.74,-0.49,-0.25,2.48,0.61,1.87,-2.88,-2.24,-0.64,
Coby Karl,,,,,,,,,,,,,,,,-1.03,-0.72,-0.31,,,,0.04,-0.3,0.34,,,,,,,,,,
Terence Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52,-0.36,-0.16,,,,
Jerry Smith,,,,,,,,,,-0.74,-0.67,-0.08,,,,,,,,,,,,,,,,,,,,,,
Ronnie Price,0.37,0.45,-0.08,-0.63,-0.98,0.35,-1.28,-1.4,0.13,-0.63,-1.51,0.88,-0.13,-1.09,0.95,-0.14,-1.93,1.79,-1.78,-0.66,-1.12,2.84,0.97,1.86,-1.23,-0.28,-0.96,-1.91,-1.31,-0.6,,,,
Jerel McNeal,-0.58,-0.6,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Claver,-0.14,-0.27,0.12,0.46,-0.28,0.74,-2.36,-1.02,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Sundov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.93,-0.77,-0.16,
Tony Bobbitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57,-0.25,-0.32,
Lazar Hayward,,,,,,,-1.1,-0.69,-0.41,-2.04,-1.47,-0.57,-3.14,-1.09,-2.05,,,,,,,,,,,,,,,,,,,
Daniel Santiago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.69,-0.63,-1.06,
Tyler Honeycutt,,,,,,,-0.92,-0.65,-0.27,-0.53,0.02,-0.55,,,,,,,,,,,,,,,,,,,,,,
Brian Cardinal,,,,,,,,,,-1.55,-1.62,0.07,-0.45,0.31,-0.76,-1.57,-0.84,-0.72,0.47,0.76,-0.29,0.22,-0.13,0.35,-0.99,-0.6,-0.39,0.08,-0.52,0.6,1.16,0.49,0.67,
Marcus Thornton,-1.04,-0.71,-0.32,-0.51,-0.25,-0.26,-3.53,-0.87,-2.66,-0.97,0.35,-1.32,-0.04,-0.58,0.54,-0.08,-0.02,-0.06,,,,,,,,,,,,,,,,
Udonis Haslem,-2.59,-2.11,-0.48,-4.43,-2.42,-2.01,0.99,-0.4,1.39,-0.54,-1.38,0.84,0.29,-0.36,0.65,-0.91,-0.8,-0.11,-0.84,-0.86,0.01,-1.89,-1.44,-0.44,1.36,0.81,0.55,0.48,-0.14,0.63,2.41,1.7,0.71,
Chris Hunter,,,,,,,,,,,,,,,,-0.37,0.63,-1.0,,,,,,,,,,,,,,,,
JaVale McGee,-2.41,-0.91,-1.5,-0.15,0.08,-0.23,-0.56,0.08,-0.64,-3.25,-1.83,-1.42,0.61,0.88,-0.27,-2.54,-1.31,-1.23,-4.17,-1.53,-2.64,,,,,,,,,,,,,
Kyle O'Quinn,-1.72,-2.0,0.28,0.32,0.01,0.31,-0.76,0.18,-0.95,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Lawson,-0.05,1.58,-1.63,2.08,2.49,-0.41,-0.49,1.2,-1.68,1.08,1.07,0.0,1.58,2.66,-1.08,0.61,1.18,-0.57,,,,,,,,,,,,,,,,
Wesley Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,-0.17,-0.83,
Bernard James,-0.81,-0.75,-0.06,-0.69,-0.57,-0.12,-1.66,-0.66,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jarron Collins,,,,,,,,,,,,,-0.49,-0.98,0.49,-0.8,-1.65,0.85,-1.27,-1.01,-0.27,0.44,-0.93,1.37,0.08,-1.34,1.42,0.83,-1.44,2.28,0.12,0.23,-0.11,
Vitaly Potapenko,,,,,,,,,,,,,,,,,,,,,,,,,-0.63,-0.48,-0.15,-1.97,-1.03,-0.93,-1.59,0.28,-1.87,
Victor Oladipo,-1.47,0.11,-1.58,-1.38,-2.52,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Sampson,,,,,,,,,,,,,,,,,,,,,,,,,-0.89,-0.46,-0.43,-0.4,-0.52,0.12,-1.62,-1.64,0.02,
Pablo Prigioni,-0.62,-0.48,-0.14,0.45,0.56,-0.11,3.24,1.6,1.64,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaal Magloire,,,,,,,,,,1.53,0.56,0.96,-0.39,-0.61,0.22,-0.72,-0.38,-0.34,0.64,0.32,0.32,-0.18,-1.25,1.07,-2.34,-1.45,-0.89,-2.28,-1.82,-0.46,-0.77,-0.8,0.04,
Stephen Curry,6.57,4.39,2.18,3.46,3.02,0.43,2.03,2.36,-0.33,2.84,1.46,1.38,1.86,1.65,0.21,-0.14,0.62,-0.76,,,,,,,,,,,,,,,,
E'Twaun Moore,-0.57,-0.36,-0.21,-2.01,-2.16,0.16,-3.52,-2.0,-1.53,0.12,-1.78,1.89,,,,,,,,,,,,,,,,,,,,,,
Ryan Reid,,,,,,,,,,-0.18,-0.13,-0.05,,,,,,,,,,,,,,,,,,,,,,
DeMarcus Nelson,,,,,,,,,,,,,,,,,,,-1.86,-1.73,-0.13,,,,,,,,,,,,,
Joe Alexander,,,,,,,,,,,,,,,,-0.85,-0.09,-0.76,-1.62,-0.61,-1.0,,,,,,,,,,,,,
Rodney Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.29,-1.58,-0.71,
Derek Fisher,,,,1.44,0.2,1.24,1.88,0.73,1.15,1.82,0.1,1.73,2.46,0.94,1.51,1.59,1.66,-0.06,1.67,0.68,1.0,1.65,1.12,0.53,1.15,-0.31,1.46,0.37,-0.3,0.68,-0.51,-1.04,0.53,
Anthony Tolliver,1.93,2.02,-0.09,2.08,1.21,0.88,-0.62,-1.84,1.22,-0.51,-0.5,-0.01,0.65,0.32,0.33,0.57,0.82,-0.25,-0.5,-0.54,0.04,,,,,,,,,,,,,
Kyle Weaver,,,,,,,,,,,,,-0.43,-0.93,0.5,-0.48,0.02,-0.5,0.94,0.13,0.81,,,,,,,,,,,,,
Sean Kilpatrick,0.23,-0.01,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Allen,,,,,,,,,,,,,-1.92,-1.14,-0.77,-3.49,-1.39,-2.11,-0.08,-0.64,0.56,-0.42,-0.34,-0.08,-0.3,-0.44,0.13,0.11,-1.19,1.3,-2.05,-0.52,-1.54,
Jeremy Lin,0.07,0.36,-0.3,0.58,-0.68,1.26,-0.95,-0.53,-0.42,2.22,0.87,1.35,-0.36,-0.3,-0.07,,,,,,,,,,,,,,,,,,,
Trey Burke,-1.31,-0.21,-1.1,0.23,1.63,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roy Hibbert,-0.77,-1.2,0.43,0.76,-0.73,1.49,2.42,0.47,1.95,1.08,0.92,0.16,-0.53,-1.38,0.85,1.82,-0.15,1.97,-0.43,-1.31,0.87,,,,,,,,,,,,,
Greivis Vasquez,-1.66,-0.41,-1.25,2.39,0.3,2.09,-1.01,1.28,-2.29,0.24,0.37,-0.13,-1.82,-1.22,-0.59,,,,,,,,,,,,,,,,,,,
Amare Stoudemire,-0.87,0.53,-1.39,-3.02,-1.32,-1.7,-1.76,-0.24,-1.52,-3.01,-2.2,-0.81,-1.48,1.0,-2.49,0.25,1.5,-1.24,0.05,-1.11,1.16,2.03,3.63,-1.59,0.49,1.21,-0.72,-0.93,-0.68,-0.25,2.23,3.26,-1.02,
Paul George,-0.16,-0.17,0.01,1.69,0.01,1.68,1.95,-0.35,2.3,2.19,0.21,1.98,0.34,0.26,0.09,,,,,,,,,,,,,,,,,,,
Ervin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.31,-0.22,-1.09,-1.93,-1.52,-0.41,
Chauncey Billups,,,,-0.9,-0.56,-0.34,-0.62,0.5,-1.13,0.9,0.07,0.83,0.3,1.78,-1.48,0.26,0.94,-0.69,1.81,3.16,-1.35,3.05,2.87,0.18,3.35,3.1,0.24,2.33,1.85,0.48,0.91,-0.17,1.09,
Aaron McKie,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-0.66,-0.14,-1.32,-0.89,-0.44,0.03,-0.99,1.01,
Troy Murphy,,,,,,,-1.79,-1.07,-0.72,0.29,0.36,-0.06,-2.88,-2.91,0.03,-2.29,-1.65,-0.65,0.21,1.51,-1.3,-0.16,0.18,-0.34,-3.6,-1.51,-2.1,-2.58,-0.7,-1.88,-1.82,-1.05,-0.76,
David Harrison,,,,,,,,,,,,,,,,,,,,,,-0.38,-0.38,0.0,-1.81,-1.81,0.01,-0.82,-2.69,1.87,-0.66,-0.59,-0.07,
James Augustine,,,,,,,,,,,,,,,,,,,,,,-0.48,-0.41,-0.08,-0.43,-0.1,-0.32,,,,,,,
Shane Larkin,-4.33,-2.63,-1.7,0.24,-0.3,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Snell,0.59,0.13,0.46,-3.45,-2.84,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khris Middleton,4.55,1.0,3.54,-1.68,0.21,-1.9,0.18,1.38,-1.21,,,,,,,,,,,,,,,,,,,,,,,,,
Tremaine Fowlkes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.55,-0.76,0.21,
Alando Tucker,,,,,,,,,,,,,,,,-1.8,-0.28,-1.52,0.15,0.25,-0.1,-0.29,-0.41,0.13,,,,,,,,,,
Kevin Burleson,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.58,-1.75,1.18,,,,
Andre Owens,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.84,0.73,,,,-1.43,-1.39,-0.04,,,,
Courtney Fortson,,,,,,,,,,-1.55,-1.44,-0.12,,,,,,,,,,,,,,,,,,,,,,
Hollis Thompson,-2.96,-1.65,-1.31,-2.49,-0.22,-2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toni Kukoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.76,0.92,-1.68,-0.85,-0.73,-0.12,
Smush Parker,,,,,,,,,,,,,,,,,,,,,,-1.28,-1.6,0.32,-1.86,0.1,-1.96,1.07,0.74,0.33,-2.87,-1.67,-1.2,
Luc Mbah a Moute,-1.66,-2.95,1.29,-2.29,-1.54,-0.76,0.46,-0.52,0.99,1.57,0.17,1.4,0.17,-1.05,1.22,-0.41,-1.49,1.08,0.03,-1.54,1.58,,,,,,,,,,,,,
Cleanthony Early,-2.82,-2.76,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Jordan,-3.3,-2.12,-1.18,,,,,,,-0.17,0.18,-0.34,,,,,,,,,,,,,,,,,,,,,,
Daequan Cook,,,,,,,-2.21,-1.05,-1.16,-0.12,-0.87,0.75,0.92,0.55,0.37,-0.94,-1.91,0.97,-0.63,0.15,-0.78,-3.46,-1.99,-1.46,,,,,,,,,,
Wayne Simien,,,,,,,,,,,,,,,,,,,,,,,,,-1.46,-1.11,-0.34,-1.41,-2.06,0.65,,,,
Awvee Storey,,,,,,,,,,,,,,,,,,,,,,-2.49,-1.3,-1.19,,,,-0.22,-0.39,0.17,-0.75,-0.47,-0.28,
Aaron Gray,,,,-1.48,-0.62,-0.86,-1.15,-1.59,0.44,-2.58,-1.46,-1.12,0.66,1.21,-0.55,-1.15,-0.91,-0.23,-1.26,-1.33,0.06,-0.18,-0.11,-0.07,,,,,,,,,,
